Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","1970","1970","°c","-0.3","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","1971","1971","°c","0.037","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","1972","1972","°c","0.011","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","1973","1973","°c","0.412","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","1974","1974","°c","-0.009","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","1975","1975","°c","0.278","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","1976","1976","°c","-0.397","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","1977","1977","°c","-0.056","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","1978","1978","°c","0.241","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","1979","1979","°c","0.298","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","1980","1980","°c","0.251","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","1981","1981","°c","0.219","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","1982","1982","°c","0.377","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","1983","1983","°c","0.122","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","1984","1984","°c","-0.15","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","1985","1985","°c","-0.127","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","1986","1986","°c","-0.044","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","1987","1987","°c","0.43","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","1988","1988","°c","0.398","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","1989","1989","°c","0.427","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","1990","1990","°c","0.85","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","1991","1991","°c","0.52","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","1992","1992","°c","0.129","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","1993","1993","°c","0.281","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","1994","1994","°c","0.732","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","1995","1995","°c","0.575","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","1996","1996","°c","0.209","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","1997","1997","°c","0.731","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","1998","1998","°c","1.264","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","1999","1999","°c","1.229","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","2000","2000","°c","0.571","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","2001","2001","°c","1.037","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","2002","2002","°c","1.13","E","Estimated value"
